WKT,R_LINKID,L_LINKID,LANETYPE,LANECODE,BARRIER,LNO,CODE,DATE,REMARK,HDUFID,HISTTYPE,HISTREMARK
"MULTILINESTRING ((302463.137 4122629.714,302463.202 4122628.689,302462.679 4122625.928,302462.155 4122623.168,302461.631 4122620.408,302461.269 4122617.851,302460.783 4122615.08,302460.298 4122612.309,302459.812 4122609.538,302459.327 4122606.768,302458.841 4122603.997,302458.356 4122601.226,302457.88 4122598.475,302457.405 4122595.724,302456.949 4122593.076,302456.492 4122590.429,302456.036 4122587.781,302455.602 4122585.211,302455.257 4122583.226,302454.912 4122581.241,302454.567 4122579.256,302454.243 4122577.372,302453.918 4122575.488,302453.539 4122573.315,302453.161 4122571.142,302452.829 4122569.154,302452.498 4122567.166,302452.062 4122564.639,302452.011 4122564.349))",,233A0066RZ0101,999,99,04,20,2,20170126,,A1LA17CA060020,����,������ �̵�
"MULTILINESTRING ((302226.148 4122427.438,302227.993 4122427.115,302230.919 4122426.6,302233.304 4122426.199,302234.183 4122426.07,302236.887 4122425.596,302238.425 4122425.333,302239.963 4122425.07,302242.749 4122424.606,302244.562 4122424.291,302247.51 4122423.773,302250.348 4122423.284,302251.691 4122423.056,302254.631 4122422.551,302257.548 4122422.05,302259.495 4122421.716,302261.096 4122421.44,302262.696 4122421.164,302265.425 4122420.704,302266.968 4122420.436,302268.512 4122420.168,302271.289 4122419.687,302274.212 4122419.193,302276.995 4122418.706,302278.834 4122418.388,302281.773 4122417.888,302283.255 4122417.635,302284.737 4122417.382,302286.796 4122417.01,302288.312 4122416.776))",,233A0054LZ0101,999,99,04,21,2,20170126,,A1LA17CA060021,����,���� �̵�
"MULTILINESTRING ((302289.274 4122422.568,302286.934 4122422.986,302283.981 4122423.514,302281.028 4122424.042,302278.074 4122424.571,302275.121 4122425.099,302272.168 4122425.627,302269.215 4122426.155,302266.262 4122426.683,302263.309 4122427.211,302260.356 4122427.739,302257.403 4122428.267,302254.45 4122428.795,302251.496 4122429.323,302248.543 4122429.852,302245.59 4122430.38,302243.865 4122430.688,302240.901 4122431.155,302237.938 4122431.622,302236.456 4122431.855,302234.974 4122432.089,302232.011 4122432.555,302230.529 4122432.789,302229.047 4122433.022,302228.879 4122433.049,302227.307 4122433.389))",,233A0053RZ0101,999,99,04,22,2,20170126,,A1LA17CA060022,����,���� �̵�
"MULTILINESTRING ((302289.034 4122419.677,302286.198 4122420.164,302283.361 4122420.651,302280.524 4122421.138,302277.687 4122421.625,302274.851 4122422.112,302272.014 4122422.599,302269.177 4122423.086,302266.341 4122423.573,302263.504 4122424.06,302260.667 4122424.547,302257.831 4122425.034,302254.994 4122425.521,302252.157 4122426.008,302249.32 4122426.495,302246.484 4122426.982,302243.647 4122427.469,302240.81 4122427.956,302237.974 4122428.443,302235.137 4122428.93,302232.3 4122429.417,302229.464 4122429.904,302226.627 4122430.391))",233A0053RZ0101,,111,01,99,23,1,20170126,,A1LA17CA060023,,
"MULTILINESTRING ((302297.959 4122477.995,302295.156 4122478.48,302292.346 4122478.946,302289.499 4122479.422,302286.696 4122479.902,302284.542 4122480.261,302284.185 4122480.349,302283.99 4122480.456,302283.763 4122480.67,302283.758 4122480.679))",,233A0051LZ0101,999,99,04,24,2,20170126,,A1LA17CA060024,,
"MULTILINESTRING ((302297.395 4122474.014,302296.189 4122474.238,302293.357 4122474.72,302290.414 4122475.227,302288.93 4122475.478,302287.446 4122475.729,302285.965 4122475.982,302284.485 4122476.235,302282.983 4122476.487,302281.481 4122476.74,302278.65 4122477.22,302277.091 4122477.488,302275.533 4122477.756,302272.62 4122478.241,302269.789 4122478.725,302268.275 4122478.985,302266.761 4122479.244,302263.867 4122479.729,302262.353 4122479.991,302260.839 4122480.254,302257.938 4122480.746,302255.984 4122481.074,302253.316 4122481.528,302250.501 4122482.006,302248.911 4122482.275,302247.32 4122482.545,302244.515 4122483.037,302243.022 4122483.289,302241.528 4122483.541,302238.615 4122484.028,302237.103 4122484.287,302235.59 4122484.547,302234.04 4122484.803,302232.49 4122485.059,302230.999 4122485.319,302229.508 4122485.579))",233A0051LZ0101,,111,01,99,25,1,20170126,,A1LA17CA060025,,
"MULTILINESTRING ((302232.622 4122480.499,302233.062 4122480.609,302234.382 4122480.654,302236.142 4122480.441,302237.621 4122480.188,302239.099 4122479.934,302240.578 4122479.68,302242.056 4122479.427,302245.013 4122478.92,302246.491 4122478.666,302247.97 4122478.412,302250.926 4122477.905,302252.405 4122477.651,302253.883 4122477.398,302255.362 4122477.144,302256.84 4122476.89,302259.797 4122476.383,302261.275 4122476.13,302262.754 4122475.876,302265.71 4122475.369,302267.189 4122475.115,302268.667 4122474.861,302271.624 4122474.354,302273.102 4122474.1,302274.581 4122473.847,302277.538 4122473.34,302280.494 4122472.832,302281.973 4122472.579,302283.451 4122472.325,302286.408 4122471.818,302287.886 4122471.564,302289.365 4122471.31,302292.322 4122470.803,302293.049 4122470.678,302296.006 4122470.171,302296.449 4122470.095))",,233A0052LR0101,999,99,04,26,2,20170126,,A1LA17CA060026,,
"MULTILINESTRING ((302090.737 4122601.586,302093.693 4122601.074,302096.649 4122600.562,302099.604 4122600.05,302101.082 4122599.793,302102.56 4122599.537,302105.516 4122599.025,302108.472 4122598.513,302111.428 4122598.001,302112.906 4122597.745,302114.384 4122597.489,302115.862 4122597.233,302117.34 4122596.977,302120.296 4122596.465,302120.315 4122596.462,302123.271 4122595.95,302124.749 4122595.694,302126.227 4122595.438,302129.183 4122594.926,302130.661 4122594.67,302132.139 4122594.414,302133.617 4122594.158,302135.095 4122593.903,302138.051 4122593.391,302139.529 4122593.135,302141.007 4122592.879,302142.485 4122592.623,302143.963 4122592.367,302145.441 4122592.111,302146.919 4122591.855,302148.397 4122591.599,302149.875 4122591.343,302151.353 4122591.087,302152.831 4122590.831,302153.112 4122590.783))",233A0029RZ0101,,111,01,99,27,1,20170126,,A1LA17CA060027,,
"MULTILINESTRING ((302153.112 4122590.783,302152.831 4122590.831,302151.353 4122591.087,302149.875 4122591.343,302148.397 4122591.599,302146.919 4122591.855,302145.441 4122592.111,302143.963 4122592.367,302142.485 4122592.623,302141.007 4122592.879,302139.529 4122593.135,302138.051 4122593.391,302135.095 4122593.903,302133.617 4122594.158,302132.139 4122594.414,302130.661 4122594.67,302129.183 4122594.926,302126.227 4122595.438,302124.749 4122595.694,302123.271 4122595.95,302120.315 4122596.462,302120.296 4122596.465,302117.34 4122596.977,302115.862 4122597.233,302114.384 4122597.489,302112.906 4122597.745,302111.428 4122598.001,302108.472 4122598.513,302105.516 4122599.025,302102.56 4122599.537,302101.082 4122599.793,302099.604 4122600.05,302096.649 4122600.562,302093.693 4122601.074,302090.737 4122601.586))",233A0030LR0101,,111,01,99,28,1,20170126,,A1LA17CA060028,,
"MULTILINESTRING ((302090.356 4122598.755,302090.85 4122598.734,302093.803 4122598.206,302096.756 4122597.677,302099.709 4122597.149,302102.662 4122596.621,302105.615 4122596.092,302108.569 4122595.564,302111.522 4122595.035,302114.475 4122594.507,302117.428 4122593.979,302120.381 4122593.45,302123.334 4122592.922,302125.793 4122592.482,302128.754 4122591.997,302131.715 4122591.513,302134.675 4122591.029,302137.636 4122590.544,302140.596 4122590.06,302143.557 4122589.575,302146.518 4122589.091,302149.478 4122588.606,302152.439 4122588.122,302152.77 4122588.068))",,233A0029RZ0101,999,99,04,29,2,20170126,,A1LA17CA060029,,
