WKT,R_LINKID,L_LINKID,LANETYPE,LANECODE,BARRIER,LNO,CODE,DATE,REMARK,HDUFID,HISTTYPE,HISTREMARK
"MULTILINESTRING ((302607.69 4124165.614,302607.128 4124165.559,302606.977 4124166.399,302606.757 4124167.426,302606.56 4124170.418,302606.549 4124170.582,302606.491 4124172.081,302606.434 4124173.58,302606.36 4124175.504,302606.348 4124177.004,302606.336 4124178.504,302606.312 4124181.503,302606.299 4124183.131,302606.404 4124183.929,302606.294 4124185.453,302606.05 4124186.933,302605.806 4124188.413,302605.765 4124188.661,302605.316 4124191.627,302605.23 4124192.197,302604.845 4124194.743,302604.381 4124197.707,302604.149 4124199.189,302603.917 4124200.671,302603.619 4124202.571,302603.154 4124205.535,302602.688 4124208.498,302602.661 4124208.669,302602.508 4124210.154))",,233A0140ZZ0101,999,99,01,374,2,20170126,,A1LA17CA060376,,
"MULTILINESTRING ((302553.164 4124117.615,302553.783 4124117.62,302556.783 4124117.641,302558.283 4124117.651,302559.783 4124117.662,302562.783 4124117.683,302564.283 4124117.693,302565.783 4124117.704,302567.687 4124117.716,302569.187 4124117.726,302570.687 4124117.735,302573.687 4124117.754,302574.855 4124117.747))",,233A0117RR0201,211,07,99,375,1,20181128,2������,A1LA18BK000040,U,���� �̵�(V18)
"MULTILINESTRING ((302540.672 4124104.813,302540.752 4124105.439,302540.847 4124106.164,302541.152 4124107.858,302541.388 4124109.14,302541.648 4124110.263,302541.836 4124110.997,302542.109 4124111.676,302542.268 4124112.051,302542.51 4124112.496,302542.792 4124112.987))",,233A0116ZZ0101,211,07,99,376,1,20170126,,A1LA17CA060378,,
"MULTILINESTRING ((302541.203 4124104.711,302541.265 4124105.085,302541.518 4124107.07,302541.656 4124108.186,302541.834 4124109.393,302541.945 4124110.042,302542.083 4124110.726,302542.356 4124111.459,302542.59 4124111.991,302542.832 4124112.494,302543.226 4124113.068,302543.544 4124113.523,302543.997 4124114.023,302544.268 4124114.35,302544.694 4124114.78,302545.265 4124115.333,302545.697 4124115.637,302546.267 4124115.973,302547.08 4124116.387,302547.756 4124116.666,302548.31 4124116.815,302549.785 4124116.909,302550.763 4124116.999,302552.89 4124117.142,302553.18 4124117.128))",,233A0116ZZ0101,999,99,01,377,2,20170126,,A1LA17CA060379,,
"MULTILINESTRING ((302537.149 4124040.328,302537.253 4124041.225,302537.428 4124042.902,302537.63 4124044.599,302537.726 4124045.399,302537.956 4124047.236,302538.258 4124049.601,302538.553 4124052.398,302538.836 4124054.426,302539.066 4124056.312,302539.318 4124058.408,302539.542 4124060.443,302539.75 4124061.904,302539.906 4124063.388,302540.126 4124065.109,302540.208 4124066.141,302540.289 4124066.941,302540.349 4124068.014,302540.376 4124069.832,302540.439 4124071.454,302540.439 4124072.598,302540.435 4124073.414,302540.429 4124074.914,302540.423 4124076.414,302540.41 4124079.413,302540.397 4124082.413,302540.375 4124084.848,302540.347 4124087.848,302540.319 4124090.848,302540.292 4124093.848,302540.264 4124096.847,302540.265 4124098.191,302540.296 4124099.364,302540.346 4124100.701,302540.409 4124102.245,302540.533 4124103.709,302540.672 4124104.813))",,233A0114RR0201,211,07,99,378,1,20170126,,A1LA17CA060380,,
"MULTILINESTRING ((302525.212 4124111.42,302525.226 4124108.424,302525.241 4124105.424,302525.241 4124105.377,302525.263 4124102.377,302525.286 4124099.377,302525.308 4124096.377,302525.311 4124095.746,302525.326 4124092.746,302525.341 4124089.746,302525.356 4124086.746,302525.363 4124085.246,302525.371 4124083.746,302525.386 4124080.746,302525.4 4124077.746,302525.395 4124075.747,302525.395 4124075.522,302525.396 4124072.522,302525.411 4124070.451,302525.439 4124069.187,302525.566 4124067.808,302525.812 4124066.101,302525.887 4124065.611,302526.34 4124062.646,302526.473 4124061.803,302526.625 4124060.841,302526.987 4124058.677,302527.362 4124056.237,302527.818 4124053.272,302528.228 4124050.662,302528.693 4124047.699,302529.064 4124045.31,302529.494 4124042.567))",,233A0113ZZ0201,211,07,99,379,1,20170126,,A1LA17CA060381,,
"MULTILINESTRING ((302525.146 4124131.511,302525.16 4124130.011,302525.174 4124128.511,302525.189 4124126.963,302525.174 4124125.423,302525.148 4124122.714,302525.165 4124121.214,302525.183 4124119.715,302525.186 4124119.461))",,,211,07,99,380,1,20170126,,A1LA17CA060382,,
"MULTILINESTRING ((302524.716 4124111.423,302524.715 4124111.299,302524.687 4124108.299,302524.66 4124105.299,302524.678 4124103.538,302524.707 4124100.538,302524.708 4124100.472,302524.749 4124097.472,302524.749 4124096.524,302524.75 4124095.024,302524.751 4124093.524,302524.751 4124093.127,302524.75 4124091.627,302524.75 4124090.127,302524.753 4124089.767,302524.779 4124086.767,302524.804 4124083.767,302524.83 4124080.767,302524.828 4124079.23,302524.823 4124076.23,302524.871 4124074.414,302524.95 4124071.415,302525.012 4124070.024,302525.146 4124067.027,302525.665 4124064.177,302526.094 4124061.462,302526.402 4124059.763,302526.563 4124058.846,302526.955 4124056.324,302527.011 4124055.958,302527.457 4124052.992,302527.8 4124050.386,302527.989 4124049.194,302528.327 4124046.827,302528.781 4124044.214,302528.831 4124043.492,302529.006 4124042.564))",,233A0113ZZ0201,999,99,01,381,2,20170126,,A1LA17CA060383,,
"MULTILINESTRING ((302528.094 4124212.774,302528.079 4124211.459,302528.027 4124210.955,302527.724 4124207.971,302527.47 4124206.63,302527.034 4124204.469,302526.936 4124203.852,302526.466 4124200.889,302526.345 4124200.211,302526.108 4124198.401,302525.86 4124196.973,302525.654 4124194.865,302525.356 4124192.805,302525.263 4124192.078,302524.886 4124189.102,302524.541 4124186.48,302524.393 4124185.407,302524.489 4124185.023,302524.549 4124184.561,302524.344 4124183.999,302524.309 4124183.412,302524.299 4124182.064,302524.269 4124180.442,302524.225 4124177.998,302524.224 4124177.433,302524.218 4124174.433,302524.223 4124174.144,302524.247 4124172.644,302524.271 4124171.144,302524.319 4124168.144,302524.324 4124166.897,302524.329 4124165.397,302524.334 4124163.897,302524.327 4124162.279,302524.315 4124159.279,302524.315 4124157.612,302524.316 4124156.112,302524.316 4124154.612,302524.336 4124153.677,302524.368 4124152.177,302524.399 4124150.678,302524.431 4124149.178,302524.463 4124147.678,302524.469 4124146.084,302524.474 4124144.584,302524.48 4124143.084,302524.485 4124141.829))",,233A0136ZZ0201,999,99,01,382,2,20170126,,A1LA17CA060384,,
"MULTILINESTRING ((302528.58 4124212.767,302528.461 4124211.253,302528.234 4124209.152,302527.835 4124206.179,302527.602 4124204.442,302527.189 4124201.47,302526.982 4124199.985,302526.775 4124198.499,302526.362 4124195.527,302526.218 4124194.494,302525.957 4124192.521,302525.563 4124189.547,302525.169 4124186.573,302524.867 4124184.294,302524.845 4124183.506,302524.84 4124181.775,302524.86 4124178.776,302524.88 4124175.776,302524.886 4124174.889,302524.904 4124171.89,302524.922 4124168.89,302524.94 4124165.89,302524.949 4124164.39,302524.958 4124162.89,302524.976 4124159.89,302524.985 4124158.39,302524.994 4124156.89,302525.012 4124153.89,302525.026 4124151.511,302525.048 4124148.511,302525.071 4124145.511,302525.094 4124142.511,302525.099 4124141.832))",,233A0136ZZ0201,211,07,99,383,1,20170126,,A1LA17CA060385,,
