WKT,LINKID,CODE,DATE,REMARK,HDUFID
"MULTILINESTRING ((471214.445 3965875.768,471214.144 3965874.058,471213.839 3965872.325))",155M008404,1,20180808,,A2ST18AS000052
"MULTILINESTRING ((471348.582 3965766.008,471348.29 3965764.576,471348.042 3965763.085))",155M008504,2,20180730,,A2ST18AS000053
"MULTILINESTRING ((471240.445 3965785.826,471240.734 3965787.259,471241.029 3965788.719))",155M008604,2,20180730,,A2ST18AS000054
"MULTILINESTRING ((471302.622 3966053.951,471303.381 3966055.297,471304.139 3966056.643))",155M005104,1,20180808,,A2ST18AS000055
"MULTILINESTRING ((472006.57 3965751.747,472005.083 3965752.002,472003.653 3965752.151,472002.099 3965752.284,472000.631 3965752.429))",155M011304,1,20181023,,A2ST18AS000084
"MULTILINESTRING ((472011.233 3965997.636,472009.91 3965997.158,472008.528 3965996.657,472008.462 3965996.634,472007.112 3965996.178,472005.696 3965995.699,472005.63 3965995.676,472004.278 3965995.257,472004.211 3965995.236,472002.779 3965994.786))",155M013504,1,20181023,,A2ST18AS000085
"MULTILINESTRING ((471627.525 3966130.39,471627.818 3966131.86,471628.111 3966133.329,471628.398 3966134.814,471628.684 3966136.296))",155M013904,1,20181023,,A2ST18AS000087
"MULTILINESTRING ((471752.76 3966112.732,471752.763 3966111.271,471752.766 3966109.796,471752.805 3966108.279,471752.844 3966106.745,471752.85 3966105.25,471752.857 3966103.776,471752.888 3966102.285,471752.919 3966100.787))",155M014204,1,20181023,,A2ST18AS000097
"MULTILINESTRING ((471801.798 3966111.039,471801.81 3966112.555,471801.822 3966114.072,471801.794 3966115.57,471801.766 3966117.067,471801.738 3966118.553,471801.71 3966120.038))",155M013804,1,20181024,,A2ST18AS000098
"MULTILINESTRING ((471925.295 3966140.074,471925.745 3966138.66,471926.196 3966137.246,471926.677 3966135.81,471927.173 3966134.379,471927.68 3966133.026,471928.217 3966131.592))",155M014704,1,20181024,,A2ST18AS000099
"MULTILINESTRING ((471544.598 3965628.403,471543.115 3965628.589,471541.631 3965628.775))",155M011704,1,20181023,,A2ST18AS000103
"MULTILINESTRING ((471567.969 3965648.046,471568.184 3965649.542,471568.399 3965651.038,471568.62 3965652.5,471568.84 3965653.961))",155M011504,1,20181023,,A2ST18AS000104
"MULTILINESTRING ((471536.96 3965591.161,471535.482 3965591.411,471534.003 3965591.661))",155M011604,2,20181023,,A2ST18AS000105
"MULTILINESTRING ((471548.158 3965577.62,471547.769 3965576.146,471547.385 3965574.671))",155M011904,2,20181023,,A2ST18AS000106
"MULTILINESTRING ((471762.162 3965548.377,471761.984 3965546.905,471761.81 3965545.433))",155M011804,2,20181023,,A2ST18AS000107
"MULTILINESTRING ((471777.33 3965554.821,471775.811 3965555.02,471774.373 3965555.208,471774.203 3965555.23))",155M012104,2,20181023,,A2ST18AS000108
"MULTILINESTRING ((471785.808 3965598.576,471784.307 3965598.761,471782.805 3965598.949))",155M012004,1,20181023,,A2ST18AS000109
"MULTILINESTRING ((471760.892 3965617.402,471761.063 3965618.881,471761.233 3965620.359,471761.444 3965621.841,471761.654 3965623.322))",155M010104,1,20181023,,A2ST18AS000110
"MULTILINESTRING ((471809.246 3965617.877,471809.415 3965619.367,471809.585 3965620.86,471809.789 3965622.352,471809.994 3965623.852))",155M000204,1,20181023,,A2ST18AS000111
"MULTILINESTRING ((472002.131 3965712.129,472003.616 3965711.916,472005.102 3965711.702,472006.592 3965711.491,472008.083 3965711.279,472009.682 3965711.038,472011.687 3965710.735))",155M010604,1,20181023,,A2ST18AS000112
"MULTILINESTRING ((472020.884 3965961.148,472022.456 3965961.444,472023.88 3965961.714,472025.389 3965961.973,472026.815 3965962.216,472028.322 3965962.494,472029.744 3965962.769))",155M010904,1,20181023,,A2ST18AS000113
"MULTILINESTRING ((471959.117 3966124.191,471960.536 3966124.673,471961.956 3966125.155,471963.375 3966125.637,471964.795 3966126.119,471966.192 3966126.594,471967.59 3966127.068))",155M012204,1,20181023,,A2ST18AS000114
"MULTILINESTRING ((471911.625206256 3965584.35367508,471908.609481857 3965584.67850302))",155M041204,2,20200921,,
"MULTILINESTRING ((471903.335721437 3965567.19601698,471906.351106197 3965566.78352905))",155M041304,2,20200921,,
"MULTILINESTRING ((471903.585698746 3965544.60214115,471906.570352793 3965544.22944087))",155M040804,2,20200921,,
"MULTILINESTRING ((471797.237591973 3965508.96797649,471796.868348471 3965505.97873058))",155M040204,2,20200921,,
"MULTILINESTRING ((471819.815571676 3965506.01298009,471820.31620232 3965509.06864617))",155M041104,2,20200921,,
"MULTILINESTRING ((471774.515145028 3965532.60101725,471777.436871709 3965532.2362679))",155M040504,2,20200921,,
